Path,Serial,Firmware,ID,Size
Gbt --> bls3,46BCK1KIFFQCTOSHIBA MD04ACA600 FS2A,FS2A,38,5.458 TB
Gbt --> bls3,46BBK3E2FFQCTOSHIBA MD04ACA600 FS2A,FS2A,51,5.458 TB
Gbt --> bls3,46BCK1KHFFQCTOSHIBA MD04ACA600 FS2A,FS2A,39,5.458 TB
Gbt --> bls3,46BBK3E3FFQCTOSHIBA MD04ACA600 FS2A,FS2A,46,5.458 TB
Gbt --> bls3,46B3K5V6FFQCTOSHIBA MD04ACA600 FS2A,FS2A,41,5.458 TB
Gbt --> bls3,46BBK3E1FFQCTOSHIBA MD04ACA600 FS2A,FS2A,52,5.458 TB
Gbt --> bls3,46BBK3DYFFQCTOSHIBA MD04ACA600 FS2A,FS2A,44,5.458 TB
Gbt --> bls3,46B7K7VSFFQCTOSHIBA MD04ACA600 FS2A,FS2A,42,5.458 TB
Gbt --> bls3,46B3K5V3FFQCTOSHIBA MD04ACA600 FS2A,FS2A,45,5.458 TB
Gbt --> bls3,46BBK3E0FFQCTOSHIBA MD04ACA600 FS2A,FS2A,50,5.458 TB
Gbt --> bls3,46BCK1KGFFQCTOSHIBA MD04ACA600 FS2A,FS2A,48,5.458 TB
Gbt --> bls3,46BBK3EFFFQCTOSHIBA MD04ACA600 FS2A,FS2A,43,5.458 TB
Gbt --> bls3,46BCK1KFFFQCTOSHIBA MD04ACA600 FS2A,FS2A,56,5.458 TB
Gbt --> bls3,46B3K5VAFFQCTOSHIBA MD04ACA600 FS2A,FS2A,49,5.458 TB
Gbt --> bls3,46BBK3E4FFQCTOSHIBA MD04ACA600 FS2A,FS2A,47,5.458 TB
Gbt --> bls3,46BBK3EIFFQCTOSHIBA MD04ACA600 FS2A,FS2A,54,5.458 TB
Gbt --> bls3,46BBK3E9FFQCTOSHIBA MD04ACA600 FS2A,FS2A,55,5.458 TB
Gbt --> bls3,46BBK3DZFFQCTOSHIBA MD04ACA600 FS2A,FS2A,57,5.458 TB
Gbt --> bls3,46BBK3EAFFQCTOSHIBA MD04ACA600 FS2A,FS2A,60,5.458 TB
Gbt --> bls3,46A3K5STFFQCTOSHIBA MD04ACA600 FS2A,FS2A,53,5.458 TB
Gbt --> bls3,46A4K4R4FFQCTOSHIBA MD04ACA600 FS2A,FS2A,61,5.458 TB
Gbt --> bls3,46A9K4XDFFQCTOSHIBA MD04ACA600 FS2A,FS2A,58,5.458 TB
Gbt --> bls3,46A8K1LDFFQCTOSHIBA MD04ACA600 FS2A,FS2A,26,5.458 TB
Gbt --> bls3,46A9K4X8FFQCTOSHIBA MD04ACA600 FS2A,FS2A,37,5.458 TB
Gbt --> bls3,46AAK65AFFQCTOSHIBA MD04ACA600 FS2A,FS2A,28,5.458 TB
Gbt --> bls3,46A8K1LFFFQCTOSHIBA MD04ACA600 FS2A,FS2A,31,5.458 TB
Gbt --> bls3,46AAK656FFQCTOSHIBA MD04ACA600 FS2A,FS2A,29,5.458 TB
Gbt --> bls3,46AAK659FFQCTOSHIBA MD04ACA600 FS2A,FS2A,36,5.458 TB
Gbt --> bls3,46ACK1HUFFQCTOSHIBA MD04ACA600 FS2A,FS2A,30,5.458 TB
Gbt --> bls3,46AAK65BFFQCTOSHIBA MD04ACA600 FS2A,FS2A,34,5.458 TB
Gbt --> bls3,46A8K1LAFFQCTOSHIBA MD04ACA600 FS2A,FS2A,27,5.458 TB
Gbt --> bls3,46A9K4X4FFQCTOSHIBA MD04ACA600 FS2A,FS2A,35,5.458 TB
Gbt --> bls3,46A8K1L3FFQCTOSHIBA MD04ACA600 FS2A,FS2A,32,5.458 TB
Parkes --> blc13,17Q9KAAZFS9ATOSHIBA MD04ACA500 FP2A,FP2A,2,4.547 TB
Parkes --> blc13,17Q7KEEEFS9ATOSHIBA MD04ACA500 FP2A,FP2A,12,4.547 TB
Parkes --> blc13,17Q7KEE8FS9ATOSHIBA MD04ACA500 FP2A,FP2A,5,4.547 TB
Parkes --> blc13,17Q7KEECFS9ATOSHIBA MD04ACA500 FP2A,FP2A,10,4.547 TB
Parkes --> blc13,17Q7KEEBFS9ATOSHIBA MD04ACA500 FP2A,FP2A,6,4.547 TB
Parkes --> blc13,17QSK1SYFS9ATOSHIBA MD04ACA500 FP2A,FP2A,14,4.547 TB
Parkes --> blc13,17QPK0E7FS9ATOSHIBA MD04ACA500 FP2A,FP2A,7,4.547 TB
Parkes --> blc13,17QPK0DZFS9ATOSHIBA MD04ACA500 FP2A,FP2A,11,4.547 TB
Parkes --> blc13,17QPK0DYFS9ATOSHIBA MD04ACA500 FP2A,FP2A,9,4.547 TB
Parkes --> blc13,17QSK1T0FS9ATOSHIBA MD04ACA500 FP2A,FP2A,15,4.547 TB
Parkes --> blc13,17QPK0E2FS9ATOSHIBA MD04ACA500 FP2A,FP2A,8,4.547 TB
Parkes --> blc13,17QPK0E1FS9ATOSHIBA MD04ACA500 FP2A,FP2A,4,4.547 TB
Parkes --> blc13,17QPK0E0FS9ATOSHIBA MD04ACA500 FP2A,FP2A,18,4.547 TB
Parkes --> blc13,17QSK1T1FS9ATOSHIBA MD04ACA500 FP2A,FP2A,13,4.547 TB
Parkes --> blc13,17QPK0EDFS9ATOSHIBA MD04ACA500 FP2A,FP2A,17,4.547 TB
Parkes --> blc13,17QSK1T5FS9ATOSHIBA MD04ACA500 FP2A,FP2A,20,4.547 TB
Parkes --> blc13,17QSK1T7FS9ATOSHIBA MD04ACA500 FP2A,FP2A,23,4.547 TB
Parkes --> blc13,17QSK1SVFS9ATOSHIBA MD04ACA500 FP2A,FP2A,22,4.547 TB
Parkes --> blc13,17QPK0E9FS9ATOSHIBA MD04ACA500 FP2A,FP2A,3,4.547 TB
Parkes --> blc13,17QPK0EBFS9ATOSHIBA MD04ACA500 FP2A,FP2A,24,4.547 TB
Parkes --> blc13,17QSK1T4FS9ATOSHIBA MD04ACA500 FP2A,FP2A,21,4.547 TB
Parkes --> blc13,17QSK1T3FS9ATOSHIBA MD04ACA500 FP2A,FP2A,25,4.547 TB
Parkes --> blc07,17TPK0H8FS9ATOSHIBA MD04ACA500 FP2A,FP2A,2,4.547 TB
Parkes --> blc07,17TPK0H7FS9ATOSHIBA MD04ACA500 FP2A,FP2A,12,4.547 TB
Parkes --> blc07,17TQK0DPFS9ATOSHIBA MD04ACA500 FP2A,FP2A,3,4.547 TB
Parkes --> blc07,17TQK0DQFS9ATOSHIBA MD04ACA500 FP2A,FP2A,9,4.547 TB
Parkes --> blc07,17TQK0DRFS9ATOSHIBA MD04ACA500 FP2A,FP2A,4,4.547 TB
Parkes --> blc07,17TQK0DNFS9ATOSHIBA MD04ACA500 FP2A,FP2A,10,4.547 TB
Parkes --> blc07,17TQK0DLFS9ATOSHIBA MD04ACA500 FP2A,FP2A,5,4.547 TB
Parkes --> blc07,17TQK0DZFS9ATOSHIBA MD04ACA500 FP2A,FP2A,17,4.547 TB
Parkes --> blc07,17TQK0DOFS9ATOSHIBA MD04ACA500 FP2A,FP2A,6,4.547 TB
Parkes --> blc07,17TQK0DMFS9ATOSHIBA MD04ACA500 FP2A,FP2A,14,4.547 TB
