Name,Bios Version,Pciid,Memory,Path,Serial
GeForce GTX 1080,86.04.3B.00.90,0000:82:00.0,8114,Gbt --> blc31,[Not Supported]
GeForce GTX 1080,86.04.3B.00.90,0000:82:00.0,8114,Gbt --> blc25,[Not Supported]
GeForce GTX 1080,86.04.17.00.80,0000:82:00.0,8114,Parkes --> blc13,[Not Supported]
GeForce GTX 1080,86.04.17.00.80,0000:82:00.0,8114,Parkes --> blc07,[Not Supported]
GeForce GTX 1080,86.04.17.00.80,0000:82:00.0,8114,Parkes --> blc06,[Not Supported]
GeForce GTX 1080,86.04.17.40.38,0000:82:00.0,8114,Parkes --> blc12,[Not Supported]
GeForce GTX 1080,86.04.3B.00.90,0000:82:00.0,8114,Gbt --> blc24,[Not Supported]
GeForce GTX 1080,86.04.3B.00.90,0000:82:00.0,8114,Gbt --> blc30,[Not Supported]
GeForce GTX 1080,86.04.3B.00.90,0000:82:00.0,8114,Gbt --> blc26,[Not Supported]
GeForce GTX 1080,86.04.3B.00.90,0000:82:00.0,8114,Gbt --> blc32,[Not Supported]
GeForce GTX 1080,86.04.17.00.80,0000:82:00.0,8114,Parkes --> blc04,[Not Supported]
GeForce GTX 1080,86.04.17.00.80,0000:82:00.0,8114,Parkes --> blc10,[Not Supported]
GeForce GTX 1080,86.04.17.40.38,0000:82:00.0,8114,Parkes --> blc11,[Not Supported]
GeForce GTX 1080,86.04.17.00.80,0000:82:00.0,8114,Parkes --> blc05,[Not Supported]
GeForce GTX 1080,86.04.3B.00.90,0000:82:00.0,8114,Gbt --> blc33,[Not Supported]
GeForce GTX 1080,86.04.3B.00.90,0000:82:00.0,8114,Gbt --> blc27,[Not Supported]
GeForce GTX 1080,86.04.3B.00.90,0000:82:00.0,8114,Gbt --> blc23,[Not Supported]
GeForce GTX 1080,86.04.3B.00.90,0000:82:00.0,8114,Gbt --> blc37,[Not Supported]
GeForce GTX 1080,86.04.17.00.80,0000:82:00.0,8114,Parkes --> blc01,[Not Supported]
GeForce GTX 1080,86.04.17.40.38,0000:82:00.0,8114,Parkes --> blc15,[Not Supported]
GeForce GTX 1080,86.04.17.00.80,0000:82:00.0,8114,Parkes --> blc14,[Not Supported]
GeForce GTX 1080,86.04.17.00.80,0000:82:00.0,8114,Parkes --> blc00,[Not Supported]
GeForce GTX 1080,86.04.3B.00.90,0000:82:00.0,8114,Gbt --> blc36,[Not Supported]
GeForce GTX 1080,86.04.3B.00.90,0000:82:00.0,8114,Gbt --> blc22,[Not Supported]
GeForce GTX 1080,86.04.3B.00.90,0000:82:00.0,8114,Gbt --> blc34,[Not Supported]
GeForce GTX 1080,86.04.3B.00.90,0000:82:00.0,8114,Gbt --> blc20,[Not Supported]
GeForce GTX 1080,86.04.17.00.80,0000:82:00.0,8114,Parkes --> blc16,[Not Supported]
GeForce GTX 1080,86.04.17.00.80,0000:82:00.0,8114,Parkes --> blc02,[Not Supported]
GeForce GTX 1080,86.04.17.00.80,0000:82:00.0,8114,Parkes --> blc03,[Not Supported]
GeForce GTX 1080,86.04.17.40.38,0000:82:00.0,8114,Parkes --> blc17,[Not Supported]
GeForce GTX 1080,86.04.3B.00.90,0000:82:00.0,8114,Gbt --> blc21,[Not Supported]
GeForce GTX 1080,86.04.3B.00.90,0000:82:00.0,8114,Gbt --> blc35,[Not Supported]
TITAN Xp,86.02.3D.00.01,00000000:02:00.0,12196,Digilab --> blc02,324517035065
TITAN V,88.00.41.00.03,00000000:81:00.0,12066,Digilab --> blc02,320418070022
GeForce GTX 1080,86.04.17.00.80,00000000:02:00.0,8119,Digilab --> blc00,[Not Supported]
GeForce GTX 1080,86.04.17.00.80,00000000:81:00.0,8119,Digilab --> blc00,[Not Supported]
GeForce GTX 1080,86.04.3B.00.90,0000:82:00.0,8114,Gbt --> blc10,[Not Supported]
GeForce GTX TITAN X,84.00.1F.00.90,0000:82:00.0,12207,Gbt --> blc04,424115013852
GeForce GTX 1080,86.04.17.00.66,0000:82:00.0,8114,Parkes --> blc32,[Not Supported]
GeForce GTX 1080,86.04.17.40.38,0000:82:00.0,8114,Parkes --> blc26,[Not Supported]
GeForce GTX 1080,86.04.17.00.80,0000:82:00.0,8114,Parkes --> blc27,[Not Supported]
GeForce GTX TITAN X,84.00.1F.00.90,0000:82:00.0,12207,Gbt --> blc05,423815030432
GeForce GTX 1080,86.04.3B.00.90,0000:82:00.0,8114,Gbt --> blc11,[Not Supported]
GeForce GTX TITAN X,84.00.1F.00.90,0000:82:00.0,12207,Gbt --> blc07,423515018102
GeForce GTX 1080,86.04.3B.00.90,0000:82:00.0,8114,Gbt --> blc13,[Not Supported]
GeForce GTX 1080,86.04.17.40.38,0000:82:00.0,8114,Parkes --> blc25,[Not Supported]
GeForce GTX 1080,86.04.17.00.66,0000:82:00.0,8114,Parkes --> blc31,[Not Supported]
GeForce GTX TITAN X,84.00.1F.00.90,0000:82:00.0,12207,Parkes --> blc30,422915027276
GeForce GTX 1080,86.04.17.00.80,0000:82:00.0,8114,Parkes --> blc24,[Not Supported]
GeForce GTX 1080,86.04.3B.00.90,0000:82:00.0,8114,Gbt --> blc12,[Not Supported]
GeForce GTX TITAN X,84.00.1F.00.90,0000:82:00.0,12207,Gbt --> blc06,424115028918
GeForce GTX TITAN X,84.00.45.00.90,0000:82:00.0,12207,Gbt --> blc02,420316021733
GeForce GTX 1080,86.04.3B.00.90,0000:82:00.0,8114,Gbt --> blc16,[Not Supported]
GeForce GTX 1080,86.04.17.00.66,0000:82:00.0,8114,Parkes --> blc20,[Not Supported]
GeForce GTX 1080,86.04.17.00.66,0000:82:00.0,8114,Parkes --> blc21,[Not Supported]
GeForce GTX 1080,86.04.17.00.80,0000:82:00.0,8114,Gbt --> blc17,[Not Supported]
GeForce GTX TITAN X,84.00.1F.00.90,0000:82:00.0,12207,Gbt --> blc03,422115004181
GeForce GTX 1080,86.04.3B.00.90,0000:82:00.0,8114,Gbt --> blc15,[Not Supported]
GeForce GTX TITAN X,84.00.1F.00.90,0000:82:00.0,12207,Gbt --> blc01,424115028406
GeForce GTX 1080,86.04.17.00.80,0000:82:00.0,8114,Parkes --> blc23,[Not Supported]
GeForce GTX 1080,86.04.17.00.66,0000:82:00.0,8114,Parkes --> blc22,[Not Supported]
GeForce GTX TITAN X,84.00.1F.00.90,0000:82:00.0,12207,Gbt --> blc00,423215021416
GeForce GTX 1080,86.04.3B.00.90,0000:82:00.0,8114,Gbt --> blc14,[Not Supported]
