Path,Total
Digilab --> bls0,65865876 kB
Parkes --> bls1,65858516 kB
Parkes --> blc21,65860648 kB
Gbt --> blc31,65860644 kB
Gbt --> blc25,65860656 kB
Gbt --> bls4,65858348 kB
Gbt --> blc24,65860656 kB
Gbt --> blc30,65860656 kB
Parkes --> blc20,65860648 kB
Parkes --> bls0,65858520 kB
Parkes --> bls2,65858520 kB
Parkes --> blc22,65860648 kB
Gbt --> blc26,65860656 kB
Gbt --> blc32,65860648 kB
Gbt --> blc33,65860656 kB
Gbt --> blc27,65860656 kB
Parkes --> blc23,65858520 kB
Parkes --> bls3,65860648 kB
Parkes --> blc27,65858268 kB
Gbt --> blc23,65860656 kB
Gbt --> blc37,65860644 kB
Gbt --> bls3,65858384 kB
Gbt --> bls2,65858544 kB
Gbt --> blc36,65860648 kB
Gbt --> blc22,65860656 kB
Parkes --> blc32,65860648 kB
Parkes --> blc26,65858520 kB
Parkes --> blc30,65865876 kB
Parkes --> blc24,65858520 kB
Gbt --> blc34,65860644 kB
Gbt --> blc20,65860656 kB
Gbt --> bls0,65865880 kB
Gbt --> bls1,65858532 kB
Gbt --> blc21,65860656 kB
Gbt --> blc35,65860644 kB
Parkes --> blc25,65858520 kB
Parkes --> blc31,65858632 kB
Parkes --> blc14,65858520 kB
Parkes --> blc00,65858508 kB
Gbt --> blc10,65861276 kB
Gbt --> blc04,65867564 kB
Gbt --> blc05,65867564 kB
Gbt --> blc11,65861276 kB
Parkes --> blc01,65860632 kB
Parkes --> blc15,65858520 kB
Parkes --> blc03,65858520 kB
Parkes --> blc17,65858520 kB
Gbt --> blc07,65867564 kB
Gbt --> blc13,65861264 kB
Gbt --> blc12,65861268 kB
Gbt --> blc06,65867564 kB
Parkes --> blc16,65858520 kB
Parkes --> blc02,65858520 kB
Parkes --> blc06,65858520 kB
Parkes --> blc12,65858508 kB
Gbt --> blh0,131927624 kB
Gbt --> blc02,65867564 kB
Gbt --> blc16,65861268 kB
Gbt --> blc17,49346216 kB
Gbt --> blc03,65867564 kB
Parkes --> blc13,65858520 kB
Parkes --> blc07,65858520 kB
Parkes --> blc11,65858508 kB
Parkes --> blc05,65858520 kB
Gbt --> blc15,65861276 kB
Gbt --> blc01,65867564 kB
Gbt --> blc00,65867508 kB
Gbt --> blc14,65861276 kB
Parkes --> blc04,65858520 kB
Parkes --> blc10,65858520 kB
Digilab --> blc02,396161920 kB
Digilab --> blc00,65865884 kB
Digilab --> blh0,131922836 kB
Digilab --> blc01,65860620 kB
