Name,IP,MAC,DNS Server,Path,Speed
docker0,172.17.0.1,02:42:06:bf:57:87, ,Digilab --> blc00,0
eth1, ,0c:c4:7a:8e:0b:ad, ,Digilab --> blc00,0
eth2, ,0c:c4:7a:8e:0b:ae, ,Digilab --> blc00,0
eth3, ,0c:c4:7a:8e:0b:af, ,Digilab --> blc00,0
lo,127.0.0.1, ,localhost.bl.pvt,Digilab --> blc00,0
eth0,10.0.1.75,0c:c4:7a:8e:0b:ac,blc00.bl.pvt,Digilab --> blc00,1000
eth4,10.10.10.6,02:02:0a:0a:0a:06,blc01-4.tenge.pvt,Digilab --> blc01,-1
eth5,10.10.10.134,02:02:0a:0a:0a:86,blc01-5.tenge.pvt,Digilab --> blc01,-1
docker0,172.17.0.1,02:42:49:b6:df:88, ,Digilab --> blc01,0
eth1, ,ac:1f:6b:2d:03:f9, ,Digilab --> blc01,0
eth2, ,ac:1f:6b:2d:03:fa, ,Digilab --> blc01,0
eth3, ,ac:1f:6b:2d:03:fb, ,Digilab --> blc01,0
lo,127.0.0.1, ,localhost.bl.pvt,Digilab --> blc01,0
eth0,10.0.1.111,ac:1f:6b:2d:03:f8,blc01.bl.pvt,Digilab --> blc01,1000
docker0,172.17.0.1,02:42:8a:99:32:83, ,Digilab --> blc02,0
eth1, ,ac:1f:6b:2d:01:f1, ,Digilab --> blc02,0
eth2, ,ac:1f:6b:2d:01:f2, ,Digilab --> blc02,0
eth3, ,ac:1f:6b:2d:01:f3, ,Digilab --> blc02,0
lo,127.0.0.1, ,localhost.bl.pvt,Digilab --> blc02,0
eth0,10.0.1.112,ac:1f:6b:2d:01:f0,blc02.bl.pvt,Digilab --> blc02,1000
eth2, ,00:25:90:fb:92:16, ,Digilab --> blh0,0
eth3, ,00:25:90:fb:92:17, ,Digilab --> blh0,0
lo,127.0.0.1, ,localhost.bl.pvt,Digilab --> blh0,0
tun0,10.254.254.1,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00, ,Digilab --> blh0,10
eth0,10.11.0.153,00:25:90:fb:92:14,acmeh2.digilab.pvt,Digilab --> blh0,1000
eth1,10.0.1.1,00:25:90:fb:92:15,blh1.bl.pvt,Digilab --> blh0,10000
eth4,10.10.10.2,02:02:0a:0a:0a:02,bls0-4.tenge.pvt,Digilab --> bls0,-1
eth5,10.10.10.130,02:02:0a:0a:0a:82,bls0-5.tenge.pvt,Digilab --> bls0,-1
docker0,172.17.0.1,02:42:e6:0f:eb:67, ,Digilab --> bls0,0
eth1, ,0c:c4:7a:bc:96:bd, ,Digilab --> bls0,0
eth2, ,0c:c4:7a:bc:96:be, ,Digilab --> bls0,0
eth3, ,0c:c4:7a:bc:96:bf, ,Digilab --> bls0,0
lo,127.0.0.1, ,localhost.bl.pvt,Digilab --> bls0,0
eth0,10.0.1.72,0c:c4:7a:bc:96:bc,bls0.bl.pvt,Digilab --> bls0,1000
eth5,10.10.10.139,02:02:0a:0a:0a:8b,blc00-5.tenge.pvt,Parkes --> blc00,-1
eth1, ,ac:1f:6b:2c:00:2d, ,Parkes --> blc00,0
eth2, ,ac:1f:6b:2c:00:2e, ,Parkes --> blc00,0
eth3, ,ac:1f:6b:2c:00:2f, ,Parkes --> blc00,0
lo,127.0.0.1, ,localhost.bl.pvt,Parkes --> blc00,0
eth0,10.0.1.81,ac:1f:6b:2c:00:2c,blc00.bl.pvt,Parkes --> blc00,1000
eth4,10.10.10.11,02:02:0a:0a:0a:0b,blc00-4.tenge.pvt,Parkes --> blc00,10000
eth5,10.10.10.140,02:02:0a:0a:0a:8c,blc01-5.tenge.pvt,Parkes --> blc01,-1
eth1, ,0c:c4:7a:eb:ac:55, ,Parkes --> blc01,0
eth2, ,0c:c4:7a:eb:ac:56, ,Parkes --> blc01,0
eth3, ,0c:c4:7a:eb:ac:57, ,Parkes --> blc01,0
lo,127.0.0.1, ,localhost.bl.pvt,Parkes --> blc01,0
eth0,10.0.1.82,0c:c4:7a:eb:ac:54,blc01.bl.pvt,Parkes --> blc01,1000
eth4,10.10.10.12,02:02:0a:0a:0a:0c,blc01-4.tenge.pvt,Parkes --> blc01,10000
