Vendor,Network,Bios Version,Hostname,Path,Type
American Megatrends Inc.,Gbt,2.0,blc13,Gbt --> blc13,COMPUTE
American Megatrends Inc.,Gbt,1.0b,blc07,Gbt --> blc07,COMPUTE
American Megatrends Inc.,Parkes,2.0a,blc17,Parkes --> blc17,COMPUTE
American Megatrends Inc.,Parkes,2.0a,blc03,Parkes --> blc03,COMPUTE
American Megatrends Inc.,Parkes,2.0a,blc02,Parkes --> blc02,COMPUTE
American Megatrends Inc.,Parkes,2.0a,blc16,Parkes --> blc16,COMPUTE
American Megatrends Inc.,Gbt,1.0b,blc06,Gbt --> blc06,COMPUTE
American Megatrends Inc.,Gbt,2.0,blc12,Gbt --> blc12,COMPUTE
American Megatrends Inc.,Gbt,1.0b,blc04,Gbt --> blc04,COMPUTE
American Megatrends Inc.,Gbt,2.0,blc10,Gbt --> blc10,COMPUTE
American Megatrends Inc.,Parkes,2.0a,blc00,Parkes --> blc00,COMPUTE
American Megatrends Inc.,Parkes,2.0a,blc14,Parkes --> blc14,COMPUTE
American Megatrends Inc.,Parkes,2.0a,blc15,Parkes --> blc15,COMPUTE
American Megatrends Inc.,Parkes,2.0a,blc01,Parkes --> blc01,COMPUTE
American Megatrends Inc.,Gbt,2.0,blc11,Gbt --> blc11,COMPUTE
American Megatrends Inc.,Gbt,1.0b,blc05,Gbt --> blc05,COMPUTE
American Megatrends Inc.,Gbt,1.0b,blc01,Gbt --> blc01,COMPUTE
American Megatrends Inc.,Gbt,2.0,blc15,Gbt --> blc15,COMPUTE
American Megatrends Inc.,Parkes,2.0a,blc05,Parkes --> blc05,COMPUTE
American Megatrends Inc.,Parkes,2.0a,blc11,Parkes --> blc11,COMPUTE
American Megatrends Inc.,Parkes,2.0a,blc10,Parkes --> blc10,COMPUTE
American Megatrends Inc.,Parkes,2.0a,blc04,Parkes --> blc04,COMPUTE
American Megatrends Inc.,Digilab,2.0b,blc02,Digilab --> blc02,COMPUTE
American Megatrends Inc.,Gbt,2.0,blc14,Gbt --> blc14,COMPUTE
American Megatrends Inc.,Gbt,1.0b,blc00,Gbt --> blc00,COMPUTE
American Megatrends Inc.,Gbt,2.0,blc16,Gbt --> blc16,COMPUTE
American Megatrends Inc.,Gbt,1.0b,blc02,Gbt --> blc02,COMPUTE
American Megatrends Inc.,Digilab,1.0b,blc00,Digilab --> blc00,COMPUTE
American Megatrends Inc.,Parkes,2.0a,blc12,Parkes --> blc12,COMPUTE
American Megatrends Inc.,Parkes,2.0a,blc06,Parkes --> blc06,COMPUTE
American Megatrends Inc.,Parkes,2.0a,blc07,Parkes --> blc07,COMPUTE
American Megatrends Inc.,Parkes,2.0a,blc13,Parkes --> blc13,COMPUTE
American Megatrends Inc.,Digilab,2.0b,blc01,Digilab --> blc01,COMPUTE
American Megatrends Inc.,Gbt,1.0b,blc03,Gbt --> blc03,COMPUTE
American Megatrends Inc.,Gbt,2.0,blc17,Gbt --> blc17,COMPUTE
American Megatrends Inc.,Gbt,2.0b,bls4,Gbt --> bls4,STORAGE
American Megatrends Inc.,Parkes,2.0,bls3,Parkes --> bls3,STORAGE
American Megatrends Inc.,Gbt,1.0b,bls0,Gbt --> bls0,STORAGE
American Megatrends Inc.,Digilab,2.0,blh0,Digilab --> blh0,HEAD
American Megatrends Inc.,Gbt,2.0,bls1,Gbt --> bls1,STORAGE
American Megatrends Inc.,Parkes,2.0a,bls2,Parkes --> bls2,STORAGE
American Megatrends Inc.,Parkes,2.0a,bls0,Parkes --> bls0,STORAGE
American Megatrends Inc.,Gbt,2.0,bls3,Gbt --> bls3,STORAGE
American Megatrends Inc.,Gbt,2.0,bls2,Gbt --> bls2,STORAGE
American Megatrends Inc.,Parkes,2.0a,bls1,Parkes --> bls1,STORAGE
American Megatrends Inc.,Gbt,1.1,blh0,Gbt --> blh0,HEAD
American Megatrends Inc.,Digilab,1.0b,bls0,Digilab --> bls0,STORAGE
American Megatrends Inc.,Gbt,2.0,blc32,Gbt --> blc32,COMPUTE
American Megatrends Inc.,Gbt,2.0,blc26,Gbt --> blc26,COMPUTE
American Megatrends Inc.,Parkes,2.0,blc22,Parkes --> blc22,COMPUTE
American Megatrends Inc.,Parkes,2.0a,blc23,Parkes --> blc23,COMPUTE
American Megatrends Inc.,Gbt,2.0,blc27,Gbt --> blc27,COMPUTE
American Megatrends Inc.,Gbt,2.0,blc33,Gbt --> blc33,COMPUTE
American Megatrends Inc.,Gbt,2.0,blc25,Gbt --> blc25,COMPUTE
American Megatrends Inc.,Gbt,2.0,blc31,Gbt --> blc31,COMPUTE
American Megatrends Inc.,Parkes,2.0,blc21,Parkes --> blc21,COMPUTE
American Megatrends Inc.,Parkes,2.0,blc20,Parkes --> blc20,COMPUTE
American Megatrends Inc.,Gbt,2.0,blc30,Gbt --> blc30,COMPUTE
